gendered,non_gendered
Aktionär:in XX ist bei der Bank angestellt,Aktionärin XX ist bei der Bank angestellt
Der Umfang des Projekts wurde auf 200 Personentage geschätzt.,Der Umfang des Projekts wurde auf 200 Personentage geschätzt.
Dey ist eineR von vielen DemokratInnen in der Versammlung.,Er ist einer von vielen Demokraten in der Versammlung.
Die Aussteller:inliste der Messe war lang und vielfältig.,Die Ausstellerliste der Messe war lang und vielfältig.
"Die Verfassenden des Sachbuchs reisten um die Welt, um ihre Recherchen abzuschließen und authentische Einblicke zu gewinnen.","Die Autorinnen des Sachbuchs reisten um die Welt, um ihre Recherchen abzuschließen und authentische Einblicke zu gewinnen."
"Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht man nur, wenn es einem selbst schon mal so gegangen ist."
Dier Übersetzer_in übertrug das technische Handbuch präzise und verständlich ins Deutsche.,Die Übersetzerin übertrug das technische Handbuch präzise und verständlich ins Deutsche.
Dererzeit war dey dier beste Läufer*in im Team.,Ihrerzeit war sie die beste Läuferin im Team.
"Dier Interviewer_in stellte gezielte Fragen, um mehr zu erfahren.","Der Interviewer stellte gezielte Fragen, um mehr zu erfahren."
Dier Seelsorger/in unterstützte die Menschen in schwierigen Zeiten.,Die Seelsorgerin unterstützte die Menschen in schwierigen Zeiten.
Die dichtende Person schrieb ein wunderschönes Gedicht über die Natur.,Die Dichterin schrieb ein wunderschönes Gedicht über die Natur.
"Als WegewartIn ist es meine Aufgabe, die Wanderwege zu überprüfen und sicherzustellen, dass sie gut instand gehalten sind.","Als Wegewartin ist es meine Aufgabe, die Wanderwege zu überprüfen und sicherzustellen, dass sie gut instand gehalten sind."
Das Sender/in-Nachricht-Empfänger/in-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.,Das Sender-Nachricht-Empfänger-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.
Dey ist ein_e zuverlässige_r Teampartner_in.,Er ist ein zuverlässiger Teampartner.
Morgen findet das Abteilungsleiter:intreffen statt,Morgen findet das Abteilungsleitertreffen statt
Bei der Abstimmung ist die Meinung von jeder einzelnen Person von großer Bedeutung.,Bei der Abstimmung ist die Meinung von jedem Einzelnen von großer Bedeutung.
Dier Querdenker/in brachte Ideen in die Diskussion ein.,Die Querdenkerin brachte Ideen in die Diskussion ein.
Dier Gäst*innenführer*in zeigte uns die Sehenswürdigkeiten der Stadt.,Der Gästeführer zeigte uns die Sehenswürdigkeiten der Stadt.
Dier Eigentümer*in hat vor kurzem renoviert.,Der Eigentümer hat vor kurzem renoviert
Dier RollstuhlfahrerIn nutzte den Aufzug.,Die Rollstuhlfahrerin nutzte den Aufzug.
Dier Bevollmächtigte unterschrieb die Verträge im Namen des Unternehmens.,Die Bevollmächtigte unterschrieb die Verträge im Namen des Unternehmens.
Viele Zivilist:innen waren von den Kämpfen betroffen.,Viele Zivilistinnen waren von den Kämpfen betroffen.
Die GeschäftspartnerInnen unterschrieben den Vertrag.,Die Geschäftspartnerinnen unterschrieben den Vertrag.
"Dier Ausstatter/in sorgte dafür, dass die Bühne mit den passenden Requisiten und Kostümen ausgestattet war.","Der Ausstatter sorgte dafür, dass die Bühne mit den passenden Requisiten und Kostümen ausgestattet war."
Die Elternberatung bietet Unterstützung für frischgebackene Eltern.,Die Vaterberatung bietet Unterstützung für frischgebackene Väter.
Die Modeschöpfer:innen präsentierten ihre neue Kollektion auf der Fashion Week.,Die Modeschöpferinnen präsentierten ihre neue Kollektion auf der Fashion Week.
"
Die Nutzer:innen waren begeistert von den neuen Funktionen der Software und teilten ihre positiven Erfahrungen :in den sozialen Medien.",Die Nutzer waren begeistert von den neuen Funktionen der Software und teilten ihre positiven Erfahrungen in den sozialen Medien.
Dier Fachärzt*in für Kardiologie hat mich behandelt.,Der Facharzt für Kardiologie hat mich behandelt.
Dey beantragte die deutsche Staatsbürger_inschaft.,Er beantragte die deutsche Staatsbürgerschaft.
Die Mode Schaffenden präsentierten ihre neue Kollektion auf der Fashion Week.,Die Modeschöpferinnen präsentierten ihre neue Kollektion auf der Fashion Week.
Die Sklavenhalter_innen besaßen mehrere Plantagen und behandelten ihre Sklav_innen mit äußerster Härte und Grausamkeit.,Die Sklavenhalterinnen besaßen mehrere Plantagen und behandelten ihre Sklavinnen mit äußerster Härte und Grausamkeit.
Die beauftragte Person für Brandschutz überprüfte die Feuerlöscher im Gebäude.,Die Brandschutzbeauftragte überprüfte die Feuerlöscher im Gebäude.
Die Webseite ist sehr nutzungsfreundlich gestaltet.,Die Webseite ist sehr nutzerinorientiert gestaltet.
Dier Erfüllungsgehilf*in führte den Auftrag gewissenhaft aus.,Der Erfüllungsgehilfe führte den Auftrag gewissenhaft aus.
Dier Callcenter Agent_in Miks hat wie immer eine super Leistung gezeigt.,Die Callcenter Agentin Miks hat wie immer eine super Leistung gezeigt.
Nicht alle jüdischen Menschen sind gläubig.,Nicht alle Juden sind gläubig. 
Dier Bauträger_in kümmerte sich um die Entwicklung des Wohngebiets.,Die Bauträgerin kümmerte sich um die Entwicklung des Wohngebiets.
"Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Die Lernende nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten."
Als vorangehende Person der modernen Architektur revolutionierte dey das Design von Hochhäusern.,Als Pionierin der modernen Architektur revolutionierte sie das Design von Hochhäusern.
Die ZauberInnen verblüfften mit ihren erstaunlichen Tricks und Illusionen.,Die Zauberinnen verblüfften mit ihren erstaunlichen Tricks und Illusionen.
Die SklavenhalterInnen besaßen mehrere Plantagen und behandelt ihre SklavInnen mit äußerster Härte und Grausamkeit.,Die Sklavenhalter besaßen mehrere Plantagen und behandelten ihre Sklaven mit äußerster Härte und Grausamkeit.
... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen.,... Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen.
... Mensch oder Maus?,... Frau oder Maus?
Die FotografInnen machten beeindruckende Bilder von der Landschaft.,Die Fotografen machten beeindruckende Bilder von der Landschaft.
Der Workshop und die Anmeldung war sehr teilnehmer*inorientiert.,Der Workshop und die Anmeldung war sehr teilnehmerorientiert.
Das jährliche Mitarbeitendengespräch bietet Raum für Feedback und Zielvereinbarungen.,Das jährliche Mitarbeitergespräch bietet Raum für Feedback und Zielvereinbarungen.
"Die Inhabenden der Firma entschieden sich, das Geschäft zu erweitern.","Die Inhaberinnen der Firma entschieden sich, das Geschäft zu erweitern."
"Die buchhaltende Person bucht den Beleg, die anordnenden Personen geben diesen frei.","Der Buchhalter bucht den Beleg, die Anordner geben diesen frei."
Ihre persönliche Ansprechperson steht Ihnen jederzeit zur Verfügung.,Ihre persönliche Kundinberaterin steht Ihnen jederzeit zur Verfügung.
Die Konkurrenz war schwer zu besiegen.,Die Rivalin war schwer zu besiegen.
Die Nachricht hat mich als adressierte Person,Die Nachricht hat mich als Adressatin
Die Mitspieler/innen feierten gemeinsam den Sieg.,Die Mitspielerinnen feierten gemeinsam den Sieg.
Das Kriegsverbrecher*intribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrecherintribunal verurteilte die Verantwortlichen für die Gräueltaten.
Das Mitglied der Genossenschaft hielt eine inspirierende Rede auf dem Parteitag.,Die Genossin hielt eine inspirierende Rede auf dem Parteitag.
Die Gegenspieler*innen hatten wesentlich mehr Erfahrung in Wettkampfsituationen.,Die Gegenspielerinnen hatten wesentlich mehr Erfahrung in Wettkampfsituationen.
Im Bürger_inbüro können Anwohner_innen ihre Anliegen vorbringen.,Im Bürgerinbüro können Anwohnerinnen ihre Anliegen vorbringen.
Dier Lektor_in überarbeitete das Manuskript.,Die Lektorin überarbeitete das Manuskript.
Diese Wohnung ist zugänglich für eine/n Behinderte/n.,Diese Wohnung ist zugänglich für eine Behinderte.
Dier Treuhänder*in verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.,Die Treuhänderin verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.
Dier RatgeberIn gibt hilfreiche Tipps zur Karriereplanung.,Der Ratgeber gibt hilfreiche Tipps zur Karriereplanung.
Dier RednerIn begeisterte das Publikum mit deren Vortrag.,Die Rednerin begeisterte das Publikum mit ihrem Vortrag.
Dier Extremist_in verbreitet gefährliche Ideologien.,Der Extremist verbreitet gefährliche Ideologien.
Das Unternehmen passte seine Produkte den KundInbedürfnissen an.,"Das Unternehmen passte seine Produkte den Kundenbedürfnissen an.
"
Dier Lehrstuhlleiter:in organisierte eine internationale Konferenz an der Universität.,Die Lehrstuhlleiterin organisierte eine internationale Konferenz an der Universität.
Die Person in Rente genießt ihre Freizeit im Garten.,Der Rentner genießt seine Freizeit im Garten.
Dier Wissensträger_in vermittelte deren umfangreiches Fachwissen gerne an jüngere Menschen.,Die Wissensträgerin vermittelte ihr umfangreiches Fachwissen gerne an jüngere Menschen.
"Die Schulung der Mitarbeitenden half den neuen Angestellten, ihre Aufgaben besser zu verstehen.","Die Mitarbeiterschulung half den neuen Angestellten, ihre Aufgaben besser zu verstehen."
Die Webseite ist sehr nutzer_inorientiert gestaltet.,Die Webseite ist sehr nutzerorientiert gestaltet.
Dier ZahnärztIn empfahl eine gründliche Zahnreinigung.,Die Zahnärztin empfahl eine gründliche Zahnreinigung.
Die Wanderung für Genießer:innen führte durch malerische Weinberge.,Die Wanderung für Genießer führte durch malerische Weinberge.
Angreifer*innen werden oft von ihren eigenen Ängsten getrieben.,Angreiferinnen werden oft von ihren eigenen Ängsten getrieben.
Der BesucherInstrom auf der Messe war überwältigend.,Der Besucherinstrom auf der Messe war überwältigend.
Deren Haus ist seit längerem im Bau.,Sein Haus ist seit längerem im Bau.
... Die Person wurde bei der Entnazifizierung als MitläuferIn eingestuft.,... Die Person wurde bei der Entnazifizierung als Mitläuferin eingestuft.
"... Die Parteien hoffen, dass am Sonntag möglichst viele Wähler*in zur Urne gehen.","... Die Parteien hoffen, dass am Sonntag möglichst viele Wählerin zur Urne gehen."
Dier Fahrer:in lenkte das Fahrzeug sicher durch den Verkehr.,Die Fahrerin lenkte das Fahrzeug sicher durch den Verkehr.
Dier Kanzler*in hielt eine wichtige Rede im Parlament und betonte die Bedeutung von Zusammenhalt und Solidarität.,Die Kanzlerin hielt eine wichtige Rede im Parlament und betonte die Bedeutung von Zusammenhalt und Solidarität.
Dier Technolog_in erforschte neue Entwicklungen in der Computertechnik und präsentierte deren Ergebnisse auf der Konferenz.,Der Technologe erforschte neue Entwicklungen in der Computertechnik und präsentierte seine Ergebnisse auf der Konferenz.
Der BesucherInparkplatz war wegen des Events komplett belegt.,Der Besucherinparkplatz war wegen des Events komplett belegt.
Als Elterntteil hat dey viel Verantwortung für deren Kinder.,Als Familienmutter hat sie viel Verantwortung für ihre Kinder.
Die Anwält/inkosten waren höher als erwartet.,Die Anwaltskosten waren höher als erwartet.
"Dier KooperationspartnerIn entwickelte neue Strategien für das Geschäftsjahr.
","Der Kooperationspartner entwickelte neue Strategien für das Geschäftsjahr.
"
Die Diskussion über die KanzlerIn-Frage spaltete die Meinungen der Bevölkerung und führte zu hitzigen Debatten in den Medien.,Die Diskussion über die Kanzler-Frage spaltete die Meinungen der Bevölkerung und führte zu hitzigen Debatten in den Medien.
Die Sender_innen der Karte haben ihre Unterschriften vergessen.,Die Senderinnen der Karte haben ihre Unterschriften vergessen.
In der Versammlung der Beteiligten am Wohneigentum wurden wichtige Beschlüsse gefasst.,In der Eigentümerversammlung wurden wichtige Beschlüsse gefasst.
Alle Verkehrsteilnehmer_innen sollten mit Rücksicht am Straßenverkehr teilnehmen. ,Alle Verkehrsteilnehmer sollten mit Rücksicht am Straßenverkehr teilnehmen. 
Uns fehlt die 3. spielende Person.,Uns fehlt die 3. Frau.
Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.
 In der verkehrsfreie Zone gibt es viele Geschäfte und Cafés.,In der Fußgängerzone gibt es viele Geschäfte und Cafés.
"Dier Immobilienbesitzer*in renovierte deren Mietshaus, um es attraktiver zu machen.","Die Immobilienbesitzerin renovierte ihr Mietshaus, um es attraktiver zu machen."
Dier Podolog:in kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.,Der Podologe kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.
Dier SchulabbrecherIn suchte nach einer neuen Ausbildungsmöglichkeit.,Der Schulabbrecher suchte nach einer neuen Ausbildungsmöglichkeit.
Dier Auszubildende absolvierte deren erstes Praktikum in der Marketingabteilung und lernte dabei viel über Kund/inkommunikation.,Die Auszubildende absolvierte ihr erstes Praktikum in der Marketingabteilung und lernte dabei viel über Kundinkommunikation.
Dier Schüler/invertreter/in setzte sich für die Anliegen der Klasse ein.,Der Schülervertreter setzte sich für die Anliegen der Klasse ein.
Dier Sexarbeiter/in forderte mehr Rechte und Schutz.,Die Sexarbeiterin forderte mehr Rechte und Schutz.
Dey zeigte deren Mitarbeiter/inausweis am Eingang vor.,Er zeigte seinen Mitarbeiterausweis am Eingang vor.
Dier Marktschreier/in zog die Aufmerksamkeit der Passant/innen auf sich.,Die Marktschreierin zog die Aufmerksamkeit der Passantinnen auf sich.
Die neu ausgelernte Fachkraft lernte viel von der Person mit abgeschlossener Meisterprüfung.,Der Geselle lernte viel von seinem Meister.
Die Ehrenfrau wurde für ihre Verdienste ausgezeichnet.,Die Ehrenfrau wurde für ihre Verdienste ausgezeichnet.
Dier Verwender_in der Maschine muss eine Sicherheitsunterweisung absolvieren.,Die Verwenderin der Maschine muss eine Sicherheitsunterweisung absolvieren.
Dier Illustrator_in entwarf die lebhaften Bilder für das Kinderbuch.,Der Illustrator entwarf die lebhaften Bilder für das Kinderbuch.
Als echte Globetrotter_innen hatten sie bereits alle Kontinente bereist.,Als echte Globetrotterinnen hatten sie bereits alle Kontinente bereist.
Der Seiteneinsteiger/inlehrgang hilft in neue Berufe.,Der Seiteneinsteigerlehrgang hilft in neue Berufe.
Die auf die Schmiedekunst spezialisierte Person formte das heiße Eisen zu einem Hufeisen.,Der Schmied formte das heiße Eisen zu einem Hufeisen.
"Dier Sänger/in trat unter deren bekannten Künstler/innamen auf.
","Die Sängerin trat unter ihrem bekannten Künstlerinnamen auf.
"
Der inhaber*ingeführte Einzelhandel legt großen Wert auf persönlichen Service.,Der inhaberingeführte Einzelhandel legt großen Wert auf persönlichen Service.
Der Bürger*inrat diskutierte über die neuen Bauprojekte in der Stadt.,Der Bürgerrat diskutierte über die neuen Bauprojekte in der Stadt.
"Die Bauherr/innen trafen sich, um den Bauplan zu besprechen.","Die Bauherrinnen trafen sich, um den Bauplan zu besprechen."
Dier SpenderIn spendete regelmäßig Blut.,Die Spenderin spendete regelmäßig Blut.
Mit ihrer bahnbrechender Forschung war dey WegbereiterIn für viele neue Entdeckungen.,Mit seiner bahnbrechenden Forschung war er Wegbereiter für viele neue Entdeckungen.
"Dier SchauspielerIn hatte eineN DoppelgängerIn, dier dem zum Verwechseln ähnlich sah.","Die Schauspielerin hatte eine Doppelgängerin, die ihr zum Verwechseln ähnlich sah."
Dier Diplomat/in verhandelte über den Friedensvertrag.,Der Diplomat verhandelte über den Friedensvertrag.
"Es herrscht eine Notsituation, wir brauchen dringend Verstärkung.","Es herrscht Not an der Frau, wir brauchen dringend Verstärkung."
Die Mitspielenden feierten gemeinsam den Sieg.,Die Mitspielerinnen feierten gemeinsam den Sieg.
Die Menschen trafen sich zum jährlichen Ball.,Die Herrschaften trafen sich zum jährlichen Ball.
Ich bin Administrator/in,Ich bin Administratorin
"Die Zeichnungsberechtigten waren autorisiert, die Finanztransaktionen im Unternehmen zu überprüfen und zu genehmigen.","Die Zeichnungsberechtigten waren autorisiert, die Finanztransaktionen im Unternehmen zu überprüfen und zu genehmigen."
Die Verbraucher:inpreise für alltägliche Güter sind in den letzten Jahren kontinuierlich gestiegen.,Die Verbraucherinpreise für alltägliche Güter sind in den letzten Jahren kontinuierlich gestiegen.
Die Prediger:innen halten eine inspirierende Rede in der Kirche.,Die Predigerinnen halten eine inspirierende Rede in der Kirche.
Dier Zivilist/in wurde in der Krisenregion evakuiert.,Die Zivilistin wurde in der Krisenregion evakuiert.
Die Person mit einem Fetisch sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.,Die Fetischistin sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.
Die Maler_innen verwandierten die tristen Wände des Raumes in e_in farbenfrohes Kunstwerk.,Die Malerinnen verwandierten die tristen Wände des Raumes in ein farbenfrohes Kunstwerk.
Der Arbeitnehmer/invertreter sprach die Anliegen der Belegschaft an.,Der Arbeitnehmerinvertreter sprach die Anliegen der Belegschaft an.
"Dier Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als dier Vorsitzende unerwartet abwesend war.","Die Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als der Vorsitzende unerwartet abwesend war."
Die Sozialleistungen beziehende Person muss regelmäßig deren Einkommenssituation nachweisen.,Der Bezieher von Sozialleistungen muss regelmäßig seine Einkommenssituation nachweisen.
Dier MörderIn wurde nach einem langen Prozess verurteilt.,Die Mörderin wurde nach einem langen Prozess verurteilt.
Die Jäger/innen trainierten ihre Hunde für die Saison.,Die Jäger trainierten ihre Hunde für die Saison.
Nicht alle Jüd*innen sind gläubig. ,Nicht alle Jüdinnen sind gläubig. 
"Dier WeinkennerIn empfahl einen hervorragenden Wein, der perfekt zu dem Abendessen passte.","Die Weinkennerin empfahl einen hervorragenden Wein, der perfekt zu dem Abendessen passte."
"Die Schulung der Mitarbeitenden half den neuen Angestellten, ihre Aufgaben besser zu verstehen.","Die Mitarbeiterinschulung half den neuen Angestellten, ihre Aufgaben besser zu verstehen."
Dey ließ sich von deren Emotionen überwältigen.,Er ließ sich von seinen Emotionen übermannen.
Dier Regierungschef*in gab eine wichtige Rede zur Wirtschaftslage des Landes.,Die Regierungschefin gab eine wichtige Rede zur Wirtschaftslage des Landes.
Das Hochzeitspaar fuhr glücklich in die Flitterwochen.,Das Brautpaar fuhr glücklich in die Flitterwochen.
Das Unternehmen bietet ein umfassendes Angebot für private Bauherr/innen an.,Das Unternehmen bietet ein umfassendes Angebot für private Bauherren an.
Die Kampagne hatte viele treue Unterstützer*innen.,Die Kampagne hatte viele treue Unterstützerinnen.
Dier Spieler*in erzielte das entscheidende Tor.,Der Spieler erzielte das entscheidende Tor.
In der Eigentümer/inversammlung wurden wichtige Beschlüsse gefasst.,In der Eigentümerversammlung wurden wichtige Beschlüsse gefasst.
"Letzte Woche war ich AusstellerIn bei dem Demo Tag, ich war sehr nervös. ","Letzte Woche war ich Ausstellerin bei dem Demo Tag, ich war sehr nervös. "
Die Klassenmitglieder warten auf die Pause.,Die Schülerinnen warten auf die Pause.
Die Marktakteur_innen diskutierten über die zukünftige Preisgestaltung auf dem Markt.,Die Marktakteure diskutierten über die zukünftige Preisgestaltung auf dem Markt.
Dey wohnt in dem BewohnerInzimmer welches sich hinten links vom Flur abgeht.,Er wohnt in dem Bewohnerzimmer welches sich hinten links vom Flur abgeht.
"Die Verkäufer:innen in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kund:innen zu erfüllen.","Die Verkäuferinnen in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kundinnen zu erfüllen."
Der Mieter/innenverein bietet Unterstützung und Beratung bei Problemen.,Der Mieterinnenverein bietet Unterstützung und Beratung bei Problemen.
Dier Stelleninhaber_in ist für die Verwaltung zuständig.,Die Stelleninhaberin ist für die Verwaltung zuständig.
"Dier VorrednerIn machte einige wichtige Punkte, die ich nun vertiefen möchte.","Die Vorrednerin machte einige wichtige Punkte, die ich nun vertiefen möchte."
In der Grundschule war dey Mitläufer/in und versuchte sich im Hintergrund zu halten. ,In der Grundschule war sie Mitläuferin und versuchte sich im Hintergrund zu halten. 
Dier Gymnasiast:in bereitete sich auf das Abitur vor.,Der Gymnasiast bereitete sich auf das Abitur vor.
"Das Geschäft wurde durch ein eine informelle Vereinbarung besiegelt, ohne formellen Vertrag.","Das Geschäft wurde durch ein Gentlemen's Agreement besiegelt, ohne formellen Vertrag."
Das Wachpersonal patrouillierte nachts auf dem Firmengelände.,Die Wachfrau patrouillierte nachts auf dem Firmengelände.
Der Freund_inkreis plante einen gemeinsamen Urlaub.,Der Freundeskreis plante einen gemeinsamen Urlaub.
Die Operationsinstrumente waren aus hochwertigem Chirurg_innenstahl gefertigt.,Die Operationsinstrumente waren aus hochwertigem Chirurginnenstahl gefertigt.
Dier CoderIn programmierte eine neue App.,Die Coderin programmierte eine neue App.
Heute bei meinem Termin war dier BürokratIn überraschend hilfreich und flexibel. Normalerweise habe ich keine guten Erfahrungen bei meinen Terminen dort.,Heute bei meinem Termin war der Bürokrat überraschend hilfreich und flexibel. Normalerweise habe ich keine guten Erfahrungen bei meinen Terminen dort.
"Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Die Lernende nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten."
Dier InformantIn lieferte der Polizei entscheidende Hinweise.,Der Informant lieferte der Polizei entscheidende Hinweise.
Dier Wissenschaftler_in entdeckte eine neue Methode zur Krebsbehandlung.,Die Wissenschaftlerin entdeckte eine neue Methode zur Krebsbehandlung.
Dier Bezieher_in von Sozialleistungen muss regelmäßig deren Einkommenssituation nachweisen.,Der Bezieher von Sozialleistungen muss regelmäßig seine Einkommenssituation nachweisen.
Dier Cyber-Erpresser*in forderte ein Lösegeld in Bitcoin.,Die Cyber-Erpresserin forderte ein Lösegeld in Bitcoin.
"Die PatientIncharakteristik ermöglichte es, individuelle Behandlungspläne zu erstellen.","Die Patientencharakteristik ermöglichte es, individuelle Behandlungspläne zu erstellen.
"
... Für diese Stelle suchen wir eine*n englische*n Muttersprachler*in.,... Für diese Stelle suchen wir eine englische Muttersprachlerin.
Dier Wander*in durchstreifte die Berge und genoss die frische Luft.,Der Wanderer durchstreifte die Berge und genoss die frische Luft.
Dier Handwerksmeister:in überprüfte die Arbeit derer Lehrlinge.,Der Handwerksmeister überprüfte die Arbeit seiner Lehrlinge.
Niemand wollte dier SpielverderberIn in der Gruppe haben.,Niemand wollte den Spielverderber in der Gruppe haben.
Dier Fürsprecher*in setzte sich für die Rechte der Minderheit ein.,Die Fürsprecherin setzte sich für die Rechte der Minderheit ein.
Die ÄrztInhelferInnen unterstützten dier ÄrztIn bei den Untersuchungen.,Die Arzthelfer unterstützten den Arzt bei den Untersuchungen.
Die SchülerInfahrtkosten wurden von der Schule erstattet.,Die Schülerinfahrtkosten wurden von der Schule erstattet.
Der Regierungsrat beriet sich über die neuen Gesetzesvorschläge im Ministerium.,Der Regierungsrat beriet sich über die neuen Gesetzesvorschläge im Ministerium.
"... Halten Sie 1,5m Abstand zu anderen. / ... Halten Sie 1,5m Abstand zur Person vor Ihnen.","... Halten Sie 1,5m Abstand zur Vorderfrau."
Die Spieler/ingruppen traten in verschiedenen Disziplinen gegeneinander an.,Die Spielergruppen traten in verschiedenen Disziplinen gegeneinander an.
Dier Noviz_in lernte schnell die Regeln des Klosters.,Die Novizin lernte schnell die Regeln des Klosters.
Die Kund_inwünsche stehen bei uns an erster Stelle und prägen unser Angebot.,Die Kundenwünsche stehen bei uns an erster Stelle und prägen unser Angebot.
Die moderierende Person führte souverän durch die Sendung.,Der Moderator führte souverän durch die Sendung.
Viele Unternehmen beschäftigen MitarbeiterInnen in Teilzeit.,Viele Unternehmen beschäftigen Mitarbeiter in Teilzeit.
Das Student_innenwerk kümmerte sich um die Bedürfnisse der Studierenden.,Das Studentenwerk kümmerte sich um die Bedürfnisse der Studierenden.
Seit ich als Agent_in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.
"Alle sind eingeladen, an der Veranstaltung teilzunehmen.","Jedermann ist eingeladen, an der Veranstaltung teilzunehmen."
Die mit mir verlobte Person hat ihren Ring kurz vor der Hochzeit verloren. ,Meine Verlobte hat ihren Ring kurz vor der Hochzeit verloren. 
Die Geschwisterlichkeit unter den Vereinsmitgliedern war beeindruckend.,Die Brüderlichkeit unter den Vereinsmitgliedern war beeindruckend.
Dier talentierte Komponist:in erhielt einen Preis für ihr neuestes Orchesterwerk.,Die talentierte Komponistin erhielt einen Preis für ihr neuestes Orchesterwerk.
Die RechnungsempfängerInnen öffnen ihre Briefe.,Die Rechnungsempfänger öffnen ihre Briefe.
"Dier Schreiber_in verfasste das Protokoll der Besprechung, damit alle Entscheidungen dokumentiert wurden.","Der Schreiber verfasste das Protokoll der Besprechung, damit alle Entscheidungen dokumentiert wurden."
Dier ReichsbürgerIn suchte sich Gleichgesinnte.,Der Reichsbürger suchte sich Gleichgesinnte.
Dier Verwender_in der Maschine muss eine Sicherheitsunterweisung absolvieren.,Der Verwender der Maschine muss eine Sicherheitsunterweisung absolvieren.
Der SchülerInausweis dient als Nachweis für die SchülerInermäßigung.,Der Schülerausweis dient als Nachweis für die Schülerermäßigung.
Das Schüler/inpraktikum bot den Jugendlichen einen Einblick in verschiedene Berufsfelder.,Das Schülerinpraktikum bot den Jugendlichen einen Einblick in verschiedene Berufsfelder.
Dier Gerüstbauer*in montierte das Gerüst am Hochhaus.,Der Gerüstbauer montierte das Gerüst am Hochhaus.
Dier Sheriff_in sorgte für Ordnung in der Stadt und setzte das Gesetz durch.,Die Sheriffin sorgte für Ordnung in der Stadt und setzte das Gesetz durch.
Die Fahrer/intür klemmte und musste repariert werden.,Die Fahrertür klemmte und musste repariert werden.
"Als verantwortungsbewusste Person, die einen Hund hält geht dey täglich mit deren Hund spazieren.",Als verantwortungsbewusster Hundehalter geht er täglich mit seinem Hund spazieren.
Dier Familienhilfe war bei der Bewältigung des Alltags eine große Unterstützung.,Der Familienhelfer war bei der Bewältigung des Alltags eine große Unterstützung.
Die Schusterei reparierte die alten Schuhe.,Die Schusterin reparierte die alten Schuhe.
"Das ist ein Aspekt, der für deren spätere Arbeitgeber/innen interessant ist.","Das ist ein Aspekt, der für seine späteren Arbeitgeber interessant ist."
Die befreundeten Personen trafen sich jeden Freitagabend.,Die Freunde trafen sich jeden Freitagabend.
Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in ihr Heimatland.,Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in sein Heimatland.
Die steigende Klient/inzahl zeigte den Erfolg der neuen Strategie.,Die steigende Klientinzahl zeigte den Erfolg der neuen Strategie.
Die Kauffachkräfte auf dem Markt verhandelten eifrig über die Preise ihrer Waren.,Die Kaufmänner auf dem Markt verhandelten eifrig über die Preise ihrer Waren.
In dem letzten Monat haben wir 45 neue Benutzer/innen dazu bekommen.,In dem letzten Monat haben wir 45 neue Benutzer dazu bekommen.
Die Trauer drohte dem zu überwältigen.,Die Trauer drohte sie zu überfrauen.
Das GründerInzentrum bot Start-ups umfassende Unterstützung und Ressourcen.,Das Gründerinzentrum bot Start-ups umfassende Unterstützung und Ressourcen.
"Einzelne haben die Möglichkeit, an einem Austauschprogramm teilzunehmen.","Einzelne haben die Möglichkeit, an einem Austauschprogramm teilzunehmen."
Die Mitspieler_innen feierten gemeinsam den Sieg.,Die Mitspieler feierten gemeinsam den Sieg.
Dier Kapitän*in führte deren Team mit Entschlossenheit und Weitsicht in den Hafen.,Die Kapitänin führte ihr Team mit Entschlossenheit und Weitsicht in den Hafen.
Dier Ersthelfer:in reagierte schnell und rettete das Leben der verletzten Person.,Der Ersthelfer reagierte schnell und rettete das Leben des Verletzten.
