non_gendered,gendered,predicted
Die Vertreter der Kommission hatten eine lange Reise vor sich. ,Die Vertreter*innen der Kommission hatten eine lange Reise vor sich. ,Die Vertreterinnen der Kommission hatten eine lange Reise vor sich.
Die Fahrerin lenkte das Fahrzeug sicher durch den Verkehr.,Dier FahrerIn lenkte das Fahrzeug sicher durch den Verkehr.,Der Fahrer lenkte das Fahrzeug sicher durch den Verkehr.
"Ich habe jahre lang als Babysitter gearbeitet, um mir etwas extra Taschengeld zu verdienen. Die Kinder haben mich immer Tonkel genannt.","Ich habe jahre lang als babysittende Person gearbeitet, um mir etwas extra Taschengeld zu verdienen. Die Kinder haben mich immer Tonkel genannt.","Ich habe jahre lang als Babysittin gearbeitet, um mir etwas extra Taschengeld zu verdienen. Die Kinder haben mich immer Tonkel genannt."
Die Nachfrager interessierten sich besonders für nachhaltige Produkte.,Die NachfragerInnen interessierten sich besonders für nachhaltige Produkte.,Die Nachfragerinnen interessierten sich besonders für nachhaltige Produkte.
Der Wächter des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.,Dier Wächter_in des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.,Der Wächter des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.
Die Supporterinnen feuerten das Team lautstark an.,Die Supporter*innen feuerten das Team lautstark an.,Die Supporter feuerten das Team lautstark an.
Die Betreiberinverantwortung umfasst die Einhaltung aller Sicherheitsvorschriften und die regelmäßige Wartung der Anlagen.,Die Betriebsverantwortung umfasst die Einhaltung aller Sicherheitsvorschriften und die regelmäßige Wartung der Anlagen.,Die Betriebsverantwortung umfasst die Einhaltung aller Sicherheitsvorschriften und die regelmäßige Wartung der Anlagen.
"Unter den Anwesenden war keiner, der den Verlust des Schlüssels bemerkt hatte.","Unter den Anwesenden war keine Person, die den Verlust des Schlüssels bemerkt hatte.","Unter den Anwesenden war keine, die den Verlust des Schlüssels bemerkt hatte."
"Der Verhandlungspartner brachte seine Bedingungen klar und präzise vor, während er gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete.","Dier Verhandlungspartner*in brachte deren Bedingungen klar und präzise vor, während dey gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete.","Die Verhandlungspartnerin brachte ihre Bedingungen klar und präzise vor, während sie gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete."
Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.,Bitte bringen Sie Ihre Versicherungskarte zum Termin mit.,Bitte bringen Sie Ihre Versicherungskarte zum Termin mit.
Die Schüler betraten einer nach dem anderen das Klassenzimmer.,Die Schüler*innen betraten nacheinander das Klassenzimmer.,Die Schüler betraten nacheinander das Klassenzimmer.
Jeder sollte seine Bürgerrechte kennen und nutzen.,Jede:r sollte deren Bürger/inrechte kennen und nutzen.,Jede sollte ihre Bürgerrechte kennen und nutzen.
In der Eigentümerinversammlung wurden wichtige Beschlüsse gefasst.,In der Versammlung der Beteiligten am Wohneigentum wurden wichtige Beschlüsse gefasst.,In der Versammlung der Beteiligten am Wohneigentum wurden wichtige Beschlüsse gefasst.
Die Fahrgäst:innen warteten geduldig an der Bushaltestelle.,Die FahrgästInnen warteten geduldig an der Bushaltestelle.,Die Fahrgästinnen warteten geduldig an der Bushaltestelle.
Seit ich als Agent arbeite habe ich viel Freude daran zur Arbeit zu gehen,Seit ich als AgentIn arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.
Der Schüler lernte fleißig für die Prüfungen.,Dier Schüler:in lernte fleißig für die Prüfungen.,Der Schüler lernte fleißig für die Prüfungen.
Die Respondentin gab detaillierte Antworten auf die Fragen der Umfrage.,Dier Respondent:in gab detaillierte Antworten auf die Fragen der Umfrage.,Die Respondentin gab detaillierte Antworten auf die Fragen der Umfrage.
Die Einwohnerinnen der Stadt feierten das jährliche Stadtfest.,Die Einwohner*innen der Stadt feierten das jährliche Stadtfest.,Die Einwohnerinnen der Stadt feierten das jährliche Stadtfest.
"Die Dorfbewohnerinnen glaubten, die alte Frau sei eine Hexe.","Die Dorfbewohnenden glaubten, die alte Person sei eine Person mit Zauberkräften.","Die Dorfbewohner glaubten, die alte Person sei eine Person mit Zauberkräften."
Der Demonstrant hielt sein Transparent in die Höhe.,Die demonstrierende Person hielt deren Transparent in die Höhe.,Die Demokratie hielt ihr Transparent in die Höhe.
Die Stammkundinnen bekommen einen Rabatt auf ihre Einkäufe.,Die Stammkund/innen bekommen einen Rabatt auf ihre Einkäufe.,Die Stammkundinnen bekommen einen Rabatt auf ihre Einkäufe.
Die Bürgerrechtsbewegung kämpfte für Gleichberechtigung und Gerechtigkeit.,Die Bürger_inrechtsbewegung kämpfte für Gleichberechtigung und Gerechtigkeit.,Die Bürgerrechtsbewegung kämpfte für Gleichberechtigung und Gerechtigkeit.
"Die Lernende nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Der Lerner nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten."
Die Ärztinpraxis war modern eingerichtet und gut ausgestattet.,Die ÄrztInpraxis war modern eingerichtet und gut ausgestattet.,Die rztinpraxis war modern eingerichtet und gut ausgestattet.
Der Zivilist wurde in der Krisenregion evakuiert.,Dier Zivilist_in wurde in der Krisenregion evakuiert.,Die Zivilistin wurde in der Krisenregion evakuiert.
Die Vorsteherinnen des Dorfes waren sehr angesehen.,Die Vorsteher*innen des Dorfes waren sehr angesehen.,Die Vorsteherinnen des Dorfes waren sehr angesehen.
"Die junge Frau mit dem Damenfahrrad genoss die Leichtigkeit des Ein- und Aussteigens.
","Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
",Die junge Menschen mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
Es gibt viele Akteure ,Es gibt viele Akteur/innen ,Es gibt viele Akteuren
Die Wanderung für Genießerinnen führte durch malerische Weinberge.,Die Wanderung für Genießer/innen führte durch malerische Weinberge.,Die Wanderung für Genießer führte durch malerische Weinberge.
Die Studienanfängerinnen wurden in der Einführungswoche begrüßt.,Die Studienanfänger_innen wurden in der Einführungswoche begrüßt.,Die Studienanfänger wurden in der Einführungswoche begrüßt.
Die DJ legte großartige Musik auf der Party auf.,Dier DJ legte großartige Musik auf der Party auf.,Der DJ legte großartige Musik auf der Party auf.
Die Ersthelferin reagierte schnell und rettete das Leben der Verletzten.,Dier Ersthelfer/in reagierte schnell und rettete das Leben der verletzten Person.,Die Ersthelferin reagierte schnell und rettete das Leben der verletzten Person.
Der Orthopädieschuhtechniker überprüft die Qualität der Schuhe.,Dier Orthopädieschuhtechniker_in überprüft die Qualität der Schuhe.,Die Orthopädieschuhtechnikerin überprüft die Qualität der Schuhe.
Ich möchte die Chefärztinbehandlung.,Ich möchte die Chefärzt/inbehandlung.,Ich möchte die Chefärztinbehandlung.
Der Text wurde adressatingerecht verfasst.,Der Text wurde adressat:ingerecht verfasst.,Der Text wurde adressatgerecht verfasst.
Die Zauberinnen verblüfften mit ihren erstaunlichen Tricks und Illusionen.,Die Zauber*innen verblüfften mit ihren erstaunlichen Tricks und Illusionen.,Die Zauberer verblüfften mit ihren erstaunlichen Tricks und Illusionen.
Er sprach den Spaziergänger auf seine coolen Sneaker an.,Dey sprach dien Spaziergänger/in auf deren coole Sneaker an.,Sie sprach der Spaziergänger auf seine coole Sneaker an.
Als Tester probiere ich viele verschiedene Proben aus und bewerte diese.,Als Tester/in probiere ich viele verschiedene Proben aus und bewerte diese.,Als Testerin probiere ich viele verschiedene Proben aus und bewerte diese.
Die Einwanderinfamilien wurden herzlich in der neuen Gemeinde begrüßt.,Die EinwanderInfamilien wurden herzlich in der neuen Gemeinde begrüßt.,Die Einwanderinfamilien wurden herzlich in der neuen Gemeinde begrüßt.
Bei der Fortbildung lernen die Chirurgen die neuesten Techniken der Herz-Thorax-Chirurgie.,Bei der Fortbildung lernen die Chirurg/innen die neuesten Techniken der Herz-Thorax-Chirurgie.,Bei der Fortbildung lernen die Chirurg die neuesten Techniken der Herz-Thorax-Chirurgie.
"Als Callcenteroperatorin ist es ihre Aufgabe, die Anliegen der Anruferinnen professionell zu bearbeiten.
","Als Callcenteroperator ist es deren Aufgabe, die Anliegen der Anrufer*innen professionell zu bearbeiten.
","Als Callcenteroperator ist es ihre Aufgabe, die Anliegen der Anrufer professionell zu bearbeiten."
Die Herausgeberin des Magazins arbeitet an der nächsten Ausgabe.,Dier Herausgeber/in des Magazins arbeitet an der nächsten Ausgabe.,Der Herausgeber des Magazins arbeitet an der nächsten Ausgabe.
Die Polizistinnen patrouillierten in der Stadt.,Die Polizist_innen patrouillierten in der Stadt.,Die Polizistinnen patrouillierten in der Stadt.
Die Vordenkerin brachte innovative Ideen ein.,Dier Vordenker_in brachte innovative Ideen ein.,Der Vordenker brachte innovative Ideen ein.
Der Proletarier organisierte sich in einer Gewerkschaft.,Dier Proletarier/in organisierte sich in einer Gewerkschaft.,Der Proletarier organisierte sich in einer Gewerkschaft.
Der Held rettete das Kind aus dem brennenden Gebäude.,Dier Held:in rettete das Kind aus dem brennenden Gebäude.,Der Held rettete das Kind aus dem brennenden Gebäude.
Der Gaffer behinderte die Rettungskräfte bei ihrer Arbeit.,Dier Gaffer:in behinderte die Rettungskräfte bei ihrer Arbeit.,Der Gaffer behinderte die Rettungskräfte bei ihrer Arbeit.
Der Mittelsmann vermittelte erfolgreich zwischen den beiden Geschäftspartnern.,Der Mittelsperson vermittelte erfolgreich zwischen den beiden Geschäftspartner*innen.,Der Mittelsmann vermittelte erfolgreich zwischen den beiden Geschäftspartnern.
Die Systembetreuerin überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.,Dier Systembetreuer_in überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.,Der Systembetreuer überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.
Der Auftragnehmer führte die Arbeiten pünktlich aus.,Dier Auftragnehmer*in führte die Arbeiten pünktlich aus.,Der Auftragnehmer führte die Arbeiten pünktlich aus.
Der Verwalter kümmerte sich um die Instandhaltung des Gebäudes.,Dier VerwalterIn kümmerte sich um die Instandhaltung des Gebäudes.,Der Verwalter kümmerte sich um die Instandhaltung des Gebäudes.
Der Gynäkologe führte die jährliche Untersuchung durch.,Das medizinische/ärztliche Fachpersonal für Gynäkologie führte die jährliche Untersuchung durch.,Die medizinischer Fachpersonal für Gynäkologie führte die jährliche Untersuchung durch.
Das Strichmännchen auf der Tafel illustrierte die grundlegenden Bewegungsabläufe in der Gymnastikstunde.,Die Strichfigur auf der Tafel illustrierte die grundlegenden Bewegungsabläufe in der Gymnastikstunde.,Die Strichfigur auf der Tafel illustrierte die grundlegenden Bewegungsabläufe in der Gymnastikstunde.
Die Anwenderin der Software war mit der Oberfläche sehr zufrieden.,Dier Anwender:in der Software war mit der Oberfläche sehr zufrieden.,Der Anwender der Software war mit der Oberfläche sehr zufrieden.
"Er ist  Autofahrer, jedesmal wenn ich mit ihm im Auto sitze fühle ich mich sehr sicher und aufgehoben.  ","Dey ist Autofahrer/in, jedesmal wenn ich mit denen im Auto sitze fühle ich mich sehr sicher und aufgehoben.","Sie ist Autofahrerin, jedesmal wenn ich mit ihrer im Auto sitze fühle ich mich sehr sicher und aufgehoben."
Wir erfüllen jeden Kundenwunsch mit größter Sorgfalt und Aufmerksamkeit.,Wir erfüllen jeden Kund_inwunsch mit größter Sorgfalt und Aufmerksamkeit.,Wir erfüllen jeden Kundinwunsch mit größter Sorgfalt und Aufmerksamkeit.
"Ihre größte Widersacherin im Schachturnier war eine Spielerin, die sie schon seit Jahren kannte.","Deren größte_r Widersacher_in im Schachturnier war ein_e Spieler_in, dier dey schon seit Jahren kannte.","Ihr größte Widersacher im Schachturnier war ein Spieler, die sie schon seit Jahren kannte."
Die talentierte Komponistin erhielt einen Preis für ihr neuestes Orchesterwerk.,Dier talentierte KomponistIn erhielt einen Preis für ihr neuestes Orchesterwerk.,Die talentierte Komponistin erhielt einen Preis für ihr neuestes Orchesterwerk.
Die hohe Mitarbeiterinmobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.,Die hohe Mitarbeiter*inmobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.,Die hohe Mitarbeitermobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.
Im Doktorandinnenkolleg fand ein intensiver Austausch statt.,Im Doktorand_innenkolleg fand ein intensiver Austausch statt.,Im Doktorandinnenkolleg fand ein intensiver Austausch statt.
Die Protagonistin der Geschichte war eine mutige Heldin.,Dier Protagonist*in der Geschichte war ein*e mutige:r Held*in.,Der Protagonist der Geschichte war ein mutige Held.
XY,XY,XY
Die Kandidatenfrage wurde während der Debatte besonders intensiv diskutiert.,Die Kandidat/infrage wurde während der Debatte besonders intensiv diskutiert.,Die Kandidatinfrage wurde während der Debatte besonders intensiv diskutiert.
"Der Trompeter spielte ein virtuos klingendes Solo, das das Publikum begeisterte.","Dier Trompeter/in spielte ein virtuos klingendes Solo, das das Publikum begeisterte.","Der Trompeter spielte ein virtuos klingendes Solo, das das Publikum begeisterte."
Die Hausherrin begrüßte alle Gästinnen persönlich.,Dier HausherrIn begrüßte alle Gäste persönlich.,Der Hausherr begrüßte alle Gäste persönlich.
Die Anwärterin bereitete sich auf die Aufnahmeprüfung vor.,Dier Anwärter_in bereitete sich auf die Aufnahmeprüfung vor.,Der Anwärter bereitete sich auf die Aufnahmeprüfung vor.
Der Gastgeber begrüßte seine Gäste herzlich.,Dier Gäst:ingeber:in begrüßte deren Gäst:innen herzlich.,Die Gästingeberin begrüßte ihre Gäste herzlich.
"Der Linkshänder fand es manchmal schwierig, geeignete Werkzeuge zu finden","Die linkshändige Person fand es manchmal schwierig, geeignete Werkzeuge zu finden","Die Linkshändige fand es manchmal schwierig, geeignete Werkzeuge zu finden"
Der Zehnkämpfer trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.,Dier ZehnkämpferIn trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.,Die Zehnkämpferin trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.
Die Zeitzeug:in berichtete von den Ereignissen des Zweiten Weltkriegs.,Dier Zeitzeug*in berichtete von den Ereignissen des Zweiten Weltkriegs.,Die Zeitzeugin berichtete von den Ereignissen des Zweiten Weltkriegs.
Der Frühaufsteher genoss die ruhigen Morgenstunden.,Der Morgenmensch genoss die ruhigen Morgenstunden.,Der Morgenmensch genoss die ruhigen Morgenstunden.
"Die Freiberuflerin genoss die Freiheit, ihre Arbeitszeit selbst zu bestimmen.","Dier Freiberufler/in genoss die Freiheit, deren Arbeitszeit selbst zu bestimmen.","Die Freiberuflerin genoss die Freiheit, ihre Arbeitszeit selbst zu bestimmen."
Die Pädagogin engagiert sich für eine bessere Bildung.,Dier Pädagog*in engagiert sich für eine bessere Bildung.,Die Pädagogin engagiert sich für eine bessere Bildung.
Der Versicherungsnehmer hat seine Prämie pünktlich bezahlt.,Dier Versicherungsnehmer/in hat deren Prämie pünktlich bezahlt.,Der Versicherungsnehmer hat seine Prämie pünktlich bezahlt.
Der Patient klagte über starke Schmerzen.,Die zu behandelnde Person klagte über starke Schmerzen.,Die Patientenin klagte über starke Schmerzen.
Die Diplomatin verhandelte über den Friedensvertrag.,Dier Diplomat:in verhandelte über den Friedensvertrag.,Die Diplomatin verhandelte über den Friedensvertrag.
Die Referentinnen waren Expertinnen auf ihrem Gebiet und lieferten wertvolle Einblicke während des Seminars.,Die Referent*innen waren Expert*innen auf ihrem Gebiet und lieferten wertvolle Einblicke während des Seminars.,Die Referentinnen waren Expertinnen auf ihrem Gebiet und lieferten wertvolle Einblicke während des Seminars.
"Die Sprachschüler übten täglich, um ihre Sprachkenntnisse zu verbessern.","Die Sprachschüler*innen übten täglich, um ihre Sprachkenntnisse zu verbessern.","Die Sprachschüler übten täglich, um ihre Sprachkenntnisse zu verbessern."
"Viele Touristinnen fahren im Sommer in die Berge, weil dort ein angenehmes Klima ist. ","Viele Tourist/innen fahren im Sommer in die Berge, weil dort ein angenehmes Klima ist. ","Viele Touristen fahren im Sommer in die Berge, weil dort ein angenehmes Klima ist."
Ihr Unternehmen ist ein erfolgreicher Ein-Frau-Betrieb.,Deren Unternehmen ist ein erfolgreicher Ein-Personen-Betrieb.,Ihr Unternehmen ist ein erfolgreicher Ein-Personen-Betrieb.
"Der Verbraucherinnenschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Verbraucherinnen fair behandelt werden.","Der Verbraucher:innenschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Verbraucher:innen fair behandelt werden.","Der Verbraucherschutz ist wichtig, um sicherzustellen, dass Produkte sicher sind und Verbraucher fair behandelt werden."
Die Studentenstadt war bekannt für ihre lebendige Atmosphäre und zahlreiche kulturelle Veranstaltungen.,Die StudentInnenstadt war bekannt für ihre lebendige Atmosphäre und zahlreiche kulturelle Veranstaltungen.,Die Studentinnenstadt war bekannt für ihre lebendige Atmosphäre und zahlreiche kulturelle Veranstaltungen.
Der Erbauer des Denkmals wurde für seine Arbeit geehrt.,Dier ErbauerIn des Denkmals wurde für deren Arbeit geehrt.,Der Erbauer des Denkmals wurde für seine Arbeit geehrt.
"Anfängerinnen sollten sich nicht scheuen, nach Rat zu fragen.","Unerfahrene sollten sich nicht scheuen, nach Rat zu fragen.","Unerfahrene sollten sich nicht scheuen, nach Rat zu fragen."
Die Brillenträgerin suchte nach einer neuen Fassung.,Dier Brillenträger*in suchte nach einer neuen Fassung.,Der Brillenträger suchte nach einer neuen Fassung.
"Der Liedermacher schrieb berührende Texte, die seine Zuhörer tief bewegten.","Dier LiedermacherIn schrieb berührende Texte, die deren ZuhörerInnen tief bewegten.","Der Liedermacher schrieb berührende Texte, die seine Zuhörer tief bewegten."
Die Familie mütterlicherseits erschien immer gut gelaunt und brachte Kuchen mit. ,Die Familie von Seiten eines Elternteils erschien immer gut gelaunt und brachte Kuchen mit. ,Die Familie von Seiten eines Elternteils erschien immer gut gelaunt und brachte Kuchen mit.
Die Unterzeichnerin des Vertrags akzeptierte die Bedingungen.,Die den Vertrag unterzeichnende Person akzeptierte die Bedingungen.,Die Vertragin akzeptierte die Bedingungen.
Die Querdenker-Demo fand am Samstag in der Innenstadt statt.,Die Querdenker_in-Demo fand am Samstag in der Innenstadt statt.,Die Querdenkerin-Demo fand am Samstag in der Innenstadt statt.
Die Forscherin wirft spannende Fragen auf. ,Dier Forscher:in wirft spannende Fragen auf. ,Die Forscherin wirft spannende Fragen auf.
Der Steuerzahler finanziert öffentliche Projekte.,Dier Steuerzahler*in finanziert öffentliche Projekte.,Der Steuerzahler finanziert öffentliche Projekte.
Der Trainer motivierte sein Team vor dem wichtigen Spiel mit einer inspirierenden Rede.,Dier TrainerIn motivierte deren Team vor dem wichtigen Spiel mit einer inspirierenden Rede.,Die Trainerin motivierte ihre Team vor dem wichtigen Spiel mit einer inspirierenden Rede.
"Die Entscheidungsträgerin traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten.","Dier Entscheidungsträger:in traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten.","Der Entscheidungsträger traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten."
Die Strahlefrau auf dem Werbeplakat lächelte freundlich.,Die Strahleperson auf dem Werbeplakat lächelte freundlich.,Die Strahlefrau auf dem Werbeplakat lächelte freundlich.
Die Casemangerin ist eine geschulte Fachkraft und findet eine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e/ine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e/ine effiziente Lösung.
Die Gästinwirtinnen bereiteten sich auf das bevorstehende Fest vor.,Die Gäst/inwirt/innen bereiteten sich auf das bevorstehende Fest vor.,Die Gästinwirtinnen bereiteten sich auf das bevorstehende Fest vor.
Unsere Partnerinorganisation unterstützt uns bei internationalen Projekten.,Unsere PartnerInorganisation unterstützt uns bei internationalen Projekten.,Unsere Partnerorganisation unterstützt uns bei internationalen Projekten.
"Die neuen Kursteilnehmer wurden herzlich in die Gruppe aufgenommen.
",Die neuen Kursteilnehmer/innen wurden herzlich in die Gruppe aufgenommen.,Die neuen Kursteilnehmer wurden herzlich in die Gruppe aufgenommen.
Die Berufskraftfahrerinnen sind oft lange auf den Straßen unterwegs.,Die BerufskraftfahrerInnen sind oft lange auf den Straßen unterwegs.,Die Berufskraftfahrer sind oft lange auf den Straßen unterwegs.
Die Basketballfans jubelten begeistert nach jedem Treffer.,Die Basketballfans jubelten begeistert nach jedem Treffer.,Die Basketballfans jubelten begeistert nach jedem Treffer.
Die Neukundin wurde herzlich im Unternehmen begrüßt und erhielt eine umfassende Einführung in die angebotenen Produkte und Dienstleistungen.,Dier Neukund*in wurde herzlich im Unternehmen begrüßt und erhielt eine umfassende Einführung *in die angebotenen Produkte und Dienstleistungen.,Der Neukund wurde herzlich im Unternehmen begrüßt und erhielt eine umfassende Einführung die angebotenen Produkte und Dienstleistungen.
"Als Laiin hatte sie Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Lai:in hatte dey Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Laiin hatte sie Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen."
Er nutzt eine App zur Partnersuche.,Dey nutzt eine App zur Partner/insuche.,Sie nutzt eine App zur Partnerinsuche.
Die Ethnologin erforschte die Bräuche indigener Völker.,Die Person mit ethnologischer Expertise erforschte die Bräuche indigener Völker.,Die Bräuche indigener Völker.
Die Interessentinnen schauten sich alles vor dem Kauf penibel an.,Die Interessent/innen schauten sich alles vor dem Kauf penibel an.,Die Interessentinnen schauten sich alles vor dem Kauf penibel an.
Der Geselle lernte viel von seinem Meister.,Dier Gesell*in lernte viel von deren Meister*in.,Der Gesell lernte viel von seinem Meister.
Die Selbstdarstellerin suchte immer nach Aufmerksamkeit.,Die sich selbst darstellende Person suchte immer nach Aufmerksamkeit.,Die Darstellende Person suchte immer nach Aufmerksamkeit.
"Die Sprachanimateure machten den Unterricht interaktiv und lebendig.
",Die Sprachanimateur:innen machten den Unterricht interaktiv und lebendig.,Die Sprachanimateurinnen machten den Unterricht interaktiv und lebendig.
"Der Strohmensch wurde in der Verhandlung verwendet, um die tatsächlichen Interessen zu verschleiern.","Der Strohmensch wurde in der Verhandlung verwendet, um die tatsächlichen Interessen zu verschleiern.","Der Strohmensch wurde in der Verhandlung verwendet, um die tatsächlichen Interessen zu verschleiern."
Der Feinschmecker genoss das exquisite Fünf-Gänge-Menü.,Dier FeinschmeckerIn genoss das exquisite Fünf-Gänge-Menü.,Die Feinschmeckerin genoss das exquisite Fünf-Gänge-Menü.
Der Schriftsteller veröffentlichte seinen neuen Roman.,Dier Schriftsteller/in veröffentlichte deren neuen Roman.,Die Schriftstellerin veröffentlichte ihre neuen Roman.
"Als Maler schuf er beeindruckende Gemälde, die in Galerien ausgestellt wurden.","Als Maler/in schuf dey beeindruckende Gemälde, die in Galerien ausgestellt wurden.","Als Maler schuf er beeindruckende Gemälde, die in Galerien ausgestellt wurden."
Das Fahrerinhaus des Flugzeugs war mit modernster Technologie ausgestattet,Das Fahrer_inhaus des Flugzeugs war mit modernster Technologie ausgestattet,Das Fahrerhaus des Flugzeugs war mit modernster Technologie ausgestattet
"Der Pathologe analysierte die Gewebeproben, um eine Diagnose zu stellen.","Dier Patholog:in analysierte die Gewebeproben, um eine Diagnose zu stellen.","Die Pathologin analysierte die Gewebeproben, um eine Diagnose zu stellen."
Der Seminarleiter führte durch das Programm des Workshops.,Dier Seminarleiter:in führte durch das Programm des Workshops.,Der Seminarleiter führte durch das Programm des Workshops.
Der Rentner genießt seine Freizeit im Garten.,Dier Rentner:in genießt deren Freizeit im Garten.,Die Rentnerin genießt ihre Freizeit im Garten.
"Die Schlepperin half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren.","Dier Schlepper/in half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren.","Die Schlepperin half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren."
Die Benutzerverwaltung ermöglicht die Kontrolle über alle Konten.,Die Kontoverwaltung ermöglicht die Kontrolle über alle Konten.,Die Kontoverwaltung ermöglicht die Kontrolle über alle Konten.
... Wer sind die anderen Vorstände?,... Wer sind die anderen Vorständ_innen?,... Wer sind die anderen Vorständinnen?
Meine Großeltern sind meine Ahninnen.,Meine Großeltern sind meine Ahn:innen.,Meine Großeltern sind meine Ahninnen.
Die Oberbürgermeisterin eröffnete die neue Stadthalle.,Dier Oberbürgermeister/in eröffnete die neue Stadthalle.,Der Oberbürgermeister eröffnete die neue Stadthalle.
Der Empfangsherr begrüßte die Gäste herzlich.,Die Empfangsperson begrüßte die Gäst/innen herzlich.,Die Empfangsfrau begrüßte die Gäste herzlich.
Der Kundenberater half bei der Auswahl des besten Tarifs für die Versicherung.,Dier Kund/inberaterin half bei der Auswahl des besten Tarifs für die Versicherung.,Die Kundinberaterin half bei der Auswahl des besten Tarifs für die Versicherung.
Die Spediteurin organisierte den Transport der Waren.,Dier SpediteurIn organisierte den Transport der Waren.,Die Spediteurin organisierte den Transport der Waren.
Die Ärztinpraxis war modern eingerichtet und gut ausgestattet.,Die Ärzt:inpraxis war modern eingerichtet und gut ausgestattet.,Die rztinpraxis war modern eingerichtet und gut ausgestattet.
Die erfahrene Kommunikatorin übernahm die Leitung der Pressekonferenz.,Dier erfahrene Kommunikator/in übernahm die Leitung der Pressekonferenz.,Die erfahrene Kommunikatorin übernahm die Leitung der Pressekonferenz.
Die Geschäftsfrauen trafen sich zu einer wichtigen Besprechung.,Die Geschäftspersonen trafen sich zu einer wichtigen Besprechung.,Die Geschäftspersonen trafen sich zu einer wichtigen Besprechung.
"Der Autor hielt eine Lesung in der Buchhandlung. Viele seiner Fans waren vor Ort und freuten sich, ihn zu treffen.","Dier schriftstellende Person hielt eine Lesung in der Buchhandlung. Viele deren Fans waren vor Ort und freuten sich, dem zu treffen.","Die Bucherin hielt eine Lesung in der Buchhandlung. Viele ihre Fans waren vor Ort und freuten sich, sie zu treffen."
Die beiden Landsmänner trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.
Die Zeitzeug:in berichtete von den Ereignissen des Zweiten Weltkriegs.,Dier Zeitzeug:in berichtete von den Ereignissen des Zweiten Weltkriegs.,Die Zeitzeugin berichtete von den Ereignissen des Zweiten Weltkriegs.
"Die Konstrukteurin arbeitete an den Plänen für das innovative Brückenbauwerk.
","Dier Konstrukteur:in arbeitete an den Plänen für das innovative Brückenbauwerk.
",Die Konstrukteurin arbeitete an den Plänen für das innovative Brückenbauwerk.
Die Förderin spendete eine große Summe für das Schulprojekt.,Dier Förder_in spendete eine große Summe für das Schulprojekt.,Die Förderin spendete eine große Summe für das Schulprojekt.
Die Soldatin kehrte nach langer Zeit im Ausland nach Hause zurück.,Dier Soldat:in kehrte nach langer Zeit im Ausland nach Hause zurück.,Die Soldatin kehrte nach langer Zeit im Ausland nach Hause zurück.
