gendered,non_gendered
Die Sachbearbeiter:innen machen eine Mittagspause.,Die Sachbearbeiter machen eine Mittagspause.
Dier Abteilungsleiter/in hat uns allen einen Termin reingesetzt,Der Abteilungsleiter hat uns alle einen Termin reingesetzt
Die Spitzenvertretung des Unternehmens nahm an der internationalen Konferenz teil.,Die Spitzenvertreterin des Unternehmens nahm an der internationalen Konferenz teil.
Dier Sympathisant/in unterstützte die politische Bewegung.,Der Sympathisant unterstützte die politische Bewegung.
Dier MeinungskontrahentIn argumentierte vehement für eine alternative Lösung des Problems.,Der Meinungskontrahent argumentierte vehement für eine alternative Lösung des Problems.
Dier Zahlungsempfänger_in bestätigte den Erhalt des Betrags.,Die Zahlungsempfängerin bestätigte den Erhalt des Betrags.
"Die Patient_incharakteristik ermöglichte es, individuelle Behandlungspläne zu erstellen.","Die Patientencharakteristik ermöglichte es, individuelle Behandlungspläne zu erstellen.
"
Dier Talkmaster/in führte die Unterhaltung durch die Talkshow.,Die Talkmasterin führte die Unterhaltung durch die Talkshow.
Dier Betriebsärzt:in führte die jährlichen Gesundheitschecks der Mitarbeiter:innen durch.,Der Betriebsarzt führte die jährlichen Gesundheitschecks der Mitarbeiter durch.
Die Ehepartnerin zeigte stolz ihren Eher*ing.,Der Ehepartner zeigte stolz seinen Ehering.
"Dier Gerätewärt/in sorgte dafür, dass alle Maschinen einwandfrei funktionierten.","Der Gerätewart sorgte dafür, dass alle Maschinen einwandfrei funktionierten."
Die Grundschüler*innen lernten die Grundlagen der Mathematik.,Die Grundschülerinnen lernten die Grundlagen der Mathematik.
Die spendende Person spendete regelmäßig Blut.,Die Spenderin spendete regelmäßig Blut.
"Die Makler:in wurde beauftragt, die Immobilien im Namen des Unternehmens zu verkaufen.","Die Maklerin wurde beauftragt, die Immobilien im Namen des Unternehmens zu verkaufen."
Die Kamerapersonen dokumentierten den friedlichen Protest vor dem Rathaus,Die Kameramänner dokumentierten den friedlichen Protest vor dem Rathaus
Dier fünfte BenutzerIn dieses Gegenstands erhält eine freie Massage.,Die fünfte Benutzerin dieses Gegenstands erhält eine freie Massage.
"Dey nutzte eine Mitfahrer:ingelegenheit, um Geld zu sparen.","Er nutzte eine Mitfahrergelegenheit, um Geld zu sparen."
"Die Polizei befragte dien Tatbeteiligte:n, um herauszufinden, was genau bei dem Vorfall passiert war.","Die Polizei befragte die Tatbeteiligte, um herauszufinden, was genau bei dem Vorfall passiert war."
"Dier Vorständ*in beschloss, das Budget für das nächste Jahr zu erhöhen.","Der Vorstand beschloss, das Budget für das nächste Jahr zu erhöhen."
"Ich mag es nicht, wenn GesprächspartnerInnen nicht zuhören.","Ich mag es nicht, wenn Gesprächspartnerinnen nicht zuhören."
Die Mitarbeiter/inverpflegung in der Kantine umfasst eine Vielzahl gesunder Mahlzeiten.,Die Mitarbeiterinverpflegung in der Kantine umfasst eine Vielzahl gesunder Mahlzeiten.
Die Ausbilder_ineignung ist Voraussetzung für die Betreuung von Lehrlingen.,Die Ausbildereignung ist Voraussetzung für die Betreuung von Lehrlingen.
Das Hochzeitspaar fuhr glücklich in die Flitterwochen.,Das Brautpaar fuhr glücklich in die Flitterwochen.
"Die Kampfrichter:inverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichterinverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte."
Dier Steuerberater_in half bei der Steuererklärung.,Die Steuerberaterin half bei der Steuererklärung.
"Das Stehaufchen auf dem Tisch wackelte bei jedem Stoß, aber es fiel nie um.","Das Stehaufmännchen auf dem Tisch wackelte bei jedem Stoß, aber es fiel nie um."
Das Hochzeitspaar fuhr glücklich in die Flitterwochen.,Das Hochzeitspaar fuhr glücklich in die Flitterwochen.
Die Geschäftspersonen trafen sich zu einer wichtigen Besprechung.,Die Geschäftsmänner trafen sich zu einer wichtigen Besprechung.
Dier Chorleiter:in dirigierte den Chor während des Konzerts.,Die Chorleiterin dirigierte den Chor während des Konzerts.
"... Die StimmungsanimateurIn verbreitet gute Laune, egal wo dey ist. ","... Der Stimmungsanimateur verbreitet gute Laune, egal wo er ist. "
"Dier TherapeutIn half deren PatientIn dabei, mit Angstzuständen umzugehen und wieder mehr Selbstvertrauen zu gewinnen.","Der Therapeut half seinem Patienten dabei, mit Angstzuständen umzugehen und wieder mehr Selbstvertrauen zu gewinnen."
Dier Sender/in hat vergessen die Nachricht zu übersetzen.,Die Senderin hat vergessen die Nachricht zu übersetzen.
Dier Evaluator*in bewertete das Projekt nach festen Kriterien.,Der Evaluator bewertete das Projekt nach festen Kriterien.
"Die Wettbewerber*innen auf dem Markt versuchen ständig, ihre Produkte zu verbessern und Kund*innen zu gewinnen.","Die Wettbewerberinnen auf dem Markt versuchen ständig, ihre Produkte zu verbessern und Kundinnen zu gewinnen."
Dier Orthopädieschuhtechniker/in überprüft die Qualität der Schuhe.,Die Orthopädieschuhtechnikerin überprüft die Qualität der Schuhe.
Während der Pandemie sicherte das Kurzarbeiter*ingeld vielen Menschen das Einkommen.,Während der Pandemie sicherte das Kurzarbeiteringeld vielen Menschen das Einkommen.
Die Patient_inpopulation des Krankenhauses umfasst Menschen aus verschiedenen Altersgruppen und mit unterschiedlichen Krankheitsbildern.,Die Patientinpopulation des Krankenhauses umfasst Menschen aus verschiedenen Altersgruppen und mit unterschiedlichen Krankheitsbildern.
Dier Technolog*in erforschte neue Entwicklungen in der Computertechnik und präsentierte deren Ergebnisse auf der Konferenz.,Die Technologin erforschte neue Entwicklungen in der Computertechnik und präsentierte ihre Ergebnisse auf der Konferenz.
Die Pazifist/innen demonstrierten für den Frieden.,Die Pazifistinnen demonstrierten für den Frieden.
Dier deutsche Meister:in im Schach gewann das Turnier souverän.,Die deutsche Meisterin im Schach gewann das Turnier souverän.
Dey ist ein*e direkte: Nachfahr*in der berühmten Entdeckerperson.,Er ist ein direkter Nachfahre des berühmten Entdeckers.
"Deren Beratungstätigkeit half vielen Unternehmen, ihre Effizienz zu steigern.","Ihre Beraterintätigkeit half vielen Unternehmen, ihre Effizienz zu steigern."
Dier ParlamentarierIn stimmte gegen das neue Gesetz.,Der Parlamentarier stimmte gegen das neue Gesetz.
Das Unternehmen passte seine Produkte den Kund/inbedürfnissen an.,"Das Unternehmen passte seine Produkte den Kundinbedürfnissen an.
"
Dier Terrorist_in wurde nach einer langen Fahndung schließlich festgenommen.,Die Terroristin wurde nach einer langen Fahndung schließlich festgenommen.
Die Alp:inisten erklimmen die Gipfel mit Leidenschaft.,Die Alpinisten erklimmen die Gipfel mit Leidenschaft.
Der Leser:inbrief an die Zeitung beschrieb die Meinung der verfasserenden Person zu einem aktuellen Thema.,Der Leserinbrief an die Zeitung beschrieb die Meinung der Verfasserin zu einem aktuellen Thema.
Dier Antragsteller:in füllte alle notwendigen Formulare aus.,Der Antragsteller füllte alle notwendigen Formulare aus.
... Achtung! Auf der A7 befindet sich einE GeisterfahrerIn im Bereich XY.,... Wir danken allen Geschäftspartnern und Freunden.
Der Bau des Projekts wurde auf etwa zehn Personenmonate geschätzt.,Der Bau des Projekts wurde auf etwa zehn Personenmonate geschätzt.
Dier Sammler*in hortete alte Münzen und antike Briefmarken.,Die Sammlerin hortete alte Münzen und antike Briefmarken.
Das Patient*inwohl hat oberste Priorität in allen Behandlungsprozessen.,Das Patientenwohl hat oberste Priorität in allen Behandlungsprozessen.
Dier Schüler*invertreter*in setzte sich für die Anliegen der Klasse ein.,Die Schülerinvertreterin setzte sich für die Anliegen der Klasse ein.
Dier Betrachter_in schaut morgens früh sich den Sonnenuntergang mit vogel gezwitscher an,Der Betrachter schaut morgens früh sich den Sonnenuntergang mit vogel gezwitscher an
Dier Leser/in war von der spannenden Handlung des Romans begeistert.,Der Leser war von der spannenden Handlung des Romans begeistert.
Die BundespräsidentInwahl findet alle fünf Jahre statt.,Die Bundespräsidentinwahl findet alle fünf Jahre statt.
Die Moderierenden haben sich vorher ausführlich besprochen. ,Die Moderator:innen haben sich vorher ausführlich besprochen. 
"Das Geschäft wurde durch ein eine informelle Vereinbarung besiegelt, ohne formellen Vertrag.","Das Geschäft wurde durch ein Gentlemen's Agreement besiegelt, ohne formellen Vertrag."
Dier Kapitalgeber/in investierte in vielversprechende Start-ups und trug so zur Innovation und Wirtschaftswachstum bei.,Der Kapitalgeber investierte in vielversprechende Start-ups und trug so zur Innovation und Wirtschaftswachstum bei.
Die Zauberkunstschaffenden verblüfften mit ihren erstaunlichen Tricks und Illusionen.,Die Zauberinnen verblüfften mit ihren erstaunlichen Tricks und Illusionen.
Dier Orthopädieschuhmacher_in fertigt spezielle Schuhe.,Der Orthopädieschuhmacher fertigt spezielle Schuhe.
"Die korregierende Person bearbeitete die Manuskripte, um Fehler vor der Veröffentlichung zu beheben.","Der Korrektor bearbeitete die Manuskripte, um Fehler vor der Veröffentlichung zu beheben.
"
Dier Pastor_in hielt eine bewegende Predigt.,Der Pastor hielt eine bewegende Predigt.
Der Erster Platz des Wettbewerbs freute sich über den ersten Platz.,Die Gewinnerin des Wettbewerbs freute sich über den ersten Platz.
Dererzeit war dey dier beste Läufer_in im Team.,Seinerzeit war er der beste Läufer im Team.
Die Auszubildenden lernten die Grundlagen des Handwerks. ,Die Auszubildenden lernten die Grundlagen des Handwerks.
"... Anteil von Wissenschaftler/innen und Ingenieur/innen an der Gesamtarbeitskraft nach Geschlecht, 2013","... Anteil von Wissenschaftlern und Ingenieuren an der Gesamtarbeitskraft nach
Geschlecht, 2013"
Dier PraktikantIn lernte viel während deren Einsatz.,Die Praktikantin lernte viel während ihres Einsatzes.
Die Grundschüler_innen lernten die Grundlagen der Mathematik.,Die Grundschülerinnen lernten die Grundlagen der Mathematik.
Die Person mit juristischer Ausbildung unterstützte in deren Freizeit Geflüchtete bei Auseinandersetzungen mit dem Sozialamt,Die Juristin unterstützte in ihrer Freizeit Geflüchtete bei Auseinandersetzungen mit dem Sozialamt
"Dier Sparringspartner_in half diem Boxer_in, sich auf den bevorstehenden Wettkampf vorzubereiten.","Der Sparringspartner half dem Boxer, sich auf den bevorstehenden Wettkampf vorzubereiten."
Dier Tierärzt:in untersuchte die Katze gründlich und verschrieb ihr ein Medikament gegen die Infektion.,Der Tierarzt untersuchte die Katze gründlich und verschrieb ihr ein Medikament gegen die Infektion.
"Dier Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als dier Vorsitzende unerwartet abwesend war.","Der Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als der Vorsitzende unerwartet abwesend war."
"Dey ist keine Person, die sich viel beschwert.","Er ist niemand, der sich viel beschwert."
Die landwirtschaftlichen ErzeugerInnen stellten frische Produkte bereit.,Die landwirtschaftlichen Erzeuger stellten frische Produkte bereit.
Meine Mitschüler:innen und ich bereiteten uns gemeinsam auf die Prüfung vor.,Meine Mitschüler und ich bereiteten uns gemeinsam auf die Prüfung vor.
Eine:n Künstler:in von gleicher Art findet man nur selten.,Einen Künstler seinesgleichen findet man nur selten.
Die Fachleute der Wirtschaftswissenschaft untersuchen die globalen Handelsströme.,Die Wirtschaftswissenschaftlerinnen untersuchen die globalen Handelsströme.
Die AmateurInnen machen ihre ersten Schritte in einem neuen Bereich.,Die Amateure machen ihre ersten Schritte in einem neuen Bereich.
"Die positiven KundInbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven Kundinbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen."
Meine Mitschüler*innen und ich bereiteten uns gemeinsam auf die Prüfung vor.,Meine Mitschüler und ich bereiteten uns gemeinsam auf die Prüfung vor.
Durch unser Treueprogramm stärken wir die KundInbindung.,Durch unser Treueprogramm stärken wir die Kundenbindung.
Toma ist Berfusschüler*in an einer Berufschule und hat sehr viel Spass an dem lernen und der Unterrichtsgestaltung.,Toma ist Berfusschülerin an einer Berufschule und hat sehr viel Spass an dem lernen und der Unterrichtsgestaltung.
Tauscht euch mit eurer Partnerperson über den Text aus.,Tauscht euch mit eurer Partnerin über den Text aus.
Die Pensionierten genießen ihren Ruhestand.,Die Pensionärinnen genießen ihren Ruhestand.
Die Anwaltschaft kümmert sich gewissenhaft um die Belange der Mandant:in und setzt sich entschlossen für deren Rechte e:in.,Die Anwaltschaft kümmert sich gewissenhaft um die Belange ihres Mandanten und setzt sich entschlossen für seine Rechte ein.
Dier Leistungsbezieher/in erhielt monatlich finanzielle Unterstützung vom Staat.,Der Leistungsbezieher erhielt monatlich finanzielle Unterstützung vom Staat.
Die Fahrrad fahrende Person trug einen Helm zur Sicherheit.,Die Fahrradfahrerin trug einen Helm zur Sicherheit.
Meine Großeltern sind meine Ahn_innen.,Meine Großeltern sind meine Ahnen.
Die Sprachanimateur/innen machten den Unterricht interaktiv und lebendig.,Die Sprachanimateurinnen machten den Unterricht interaktiv und lebendig.
Tauscht euch mit del Partneron über den Text aus.,Tauscht euch mit eurem Partner über den Text aus.
Das neue Produkt war ein:e echte:r Gamechanger:in in der Branche.,Das neue Produkt war ein echter Gamechanger in der Branche.
Dier Sklav:in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Der Sklave musste unter schweren Bedingungen in der Fabrik arbeiten. Er hatte keine Aussicht auf Freiheit oder fairen Lohn.
"Die V-Person arbeitete undercover, um Informationen über kriminelle Aktivitäten zu sammeln.","Der V-Mann arbeitete undercover, um Informationen über kriminelle Aktivitäten zu sammeln."
"Dier Urheber/in des Gemäldes bleibt oft anonym, aber deren Kunst spricht für sich selbst.","Der Urheber des Gemäldes bleibt oft anonym, aber seine Kunst spricht für sich selbst."
"... Um an unserer Klinik als Ärzt_in arbeiten zu können, müssen Sie die Approbation im Orig_inal vorlegen.","... Um an unserer Klinik als Arzt arbeiten zu können, müssen Sie die Approbation im Original vorlegen."
Angreifer_innen werden oft von ihren eigenen Ängsten getrieben.,Angreiferinnen werden oft von ihren eigenen Ängsten getrieben.
Die Diskutant*innen tauschten ihre Meinungen lebhaft aus.,Die Diskutantinnen tauschten ihre Meinungen lebhaft aus.
"Dier Veganer_in bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist.","Die Veganerin bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist."
In der SpezialistInfunktion ist tiefgehendes Wissen und Fachkenntnis in einem bestimmten Bereich erforderlich.,In der Spezialistenfunktion ist tiefgehendes Wissen und Fachkenntnis in einem bestimmten Bereich erforderlich.
Dey fand viele Mitstreiter:innen für deren Projekt.,Er fand viele Mitstreiter für sein Projekt.
Dier Faschist/in verbreitete gefährliche Ideologien.,Die Faschistin verbreitete gefährliche Ideologien.
Die erfahrene kletternde Person meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.,Die erfahrene Kletterin meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.
Die Person mit einer Nebenrolle spielte eine unauffällige Rolle im Hintergrund des Films.,Der Komparse spielte eine unauffällige Rolle im Hintergrund des Films.
Dier Erblasser_in hinterließ ein bedeutendes Vermögen.,Der Erblasser hinterließ ein bedeutendes Vermögen.
Dier JustiziarIn beriet das Unternehmen in rechtlichen Fragen.,Die Justiziarin beriet das Unternehmen in rechtlichen Fragen.
Die Kommentator/innen boten den zuschauenden Personen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.,Die Kommentatorinnen boten den Zuschauerinnen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.
Dier EthnologIn erforschte die Bräuche indigener Völker.,Der Ethnologe erforschte die Bräuche indigener Völker.
Das ÄrztIn-PatientInnen-Verhältnis basiert auf Vertrauen.,Das Ärztin-Patientinnen-Verhältnis basiert auf Vertrauen.
Dier Zuschauer:in klatschte begeistert nach der Aufführung.,Die Zuschauerin klatschte begeistert nach der Aufführung.
Die Zuschauer/inzahl bei dem Fußballspiel erreichte einen neuen Rekord.,Die Zuschauerzahl bei dem Fußballspiel erreichte einen neuen Rekord.
Die Anwält:inkosten waren höher als erwartet.,Die Anwaltskosten waren höher als erwartet.
Das Wachpersonal patrouillierte nachts auf dem Firmengelände.,Der Wachmann patrouillierte nachts auf dem Firmengelände.
Dier Geldgeber_in unterstützte das Start-up mit einer großzügigen Investition.,Der Geldgeber unterstützte das Start-up mit einer großzügigen Investition.
Die Casemangerin ist eine geschulte Fachkraft und findet e:ine effiziente Lösung,Der Casemanager ist eine geschulte Fachkraft und findet eine effiziente Lösung .
"Dier Assistenzärzt:in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Der Assistenzarzt führte die Operation eigenständig durch, da er bereits viel Erfahrung sammeln konnte."
Dier Herausgeber_in des Magazins arbeitet an der nächsten Ausgabe.,Der Herausgeber des Magazins arbeitet an der nächsten Ausgabe.
... Löst die Aufgabe in Partner_inarbeit!,... Löst die Aufgabe in Partnerinarbeit!
Der AnwenderInkurs vermittelt Grundlagen im Umgang mit der neuen Software.,Der Anwenderinkurs vermittelt Grundlagen im Umgang mit der neuen Software.
"Die Kolleg:innen versammelten sich in der Kantine, um gemeinsam Mittag zu essen.","Die Kollegen versammelten sich in der Kantine, um gemeinsam Mittag zu essen."
"Die Wähler_ininitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen.","Die Wählerinitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen."
Dier Wahlhelfer:in zählte die Stimmen aus. ,Die Wahlhelfer:in zählte die Stimmen aus. 
Dier Produzent:in plante die Veröffentlichung des neuen Albums.,Der Produzent plante die Veröffentlichung des neuen Albums.
Die Illustrator/innen arbeiteten gemeinsam an einem großen Projekt für eine neue Buchreihe.,Die Illustratoren arbeiteten gemeinsam an einem großen Projekt für eine neue Buchreihe.
"Dier Tontechniker*in sorgt dafür, dass der Sound der Veranstaltung gut klingt.","Der Tontechniker sorgt dafür, dass der Sound der Veranstaltung gut klingt."
Die Sozialarbeitenden helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiterinnen helfen den Menschen in schwierigen Lebenslagen.
Dier Liebhaber:in klassischer Musik freute sich auf das Konzert am Wochenende.,Der Liebhaber klassischer Musik freute sich auf das Konzert am Wochenende.
"Der Strohmensch wurde in der Verhandlung verwendet, um die tatsächlichen Interessen zu verschleiern.","Der Strohmann wurde in der Verhandlung verwendet, um die tatsächlichen Interessen zu verschleiern.
"
Im Brettspiel musste jedeR SpielerIn deren Figuren auf dem Spielfeld bewegen.,Im Brettspiel musste jeder Spieler seine Männchen auf dem Spielfeld bewegen.
"Die Redaktion erhielt viele Leser/inbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leserbriefe, die unterschiedliche Meinungen widerspiegelten."
"Dier Expert*in wurde zu einer TV-Sendung eingeladen, um deren Meinung zu teilen.","Die Expertin wurde zu einer TV-Sendung eingeladen, um ihre Meinung zu teilen."
Dier Gestalter_in entwarf das neue Logo der Firma.,Die Gestalterin entwarf das neue Logo der Firma.
"Dier Passinhaber/in musste deren Reisepass vorzeigen, um die Sicherheitskontrolle zu passieren.","Die Passinhaberin musste ihren Reisepass vorzeigen, um die Sicherheitskontrolle zu passieren."
Die Fachleute der Volkswirtschaft analysieren die wirtschaftlichen Auswirkungen der neuen Gesetzgebung.,Die Volkswirte analysieren die wirtschaftlichen Auswirkungen der neuen Gesetzgebung.
Die Austauschperson aus Frankreich besuchte für ein Jahr unsere Schule.,Die Austauschschülerin aus Frankreich besuchte für ein Jahr unsere Schule.
Die Seeleute entdeckten neue Länder.,Die Seefahrerinnen entdeckten neue Länder.
Dier Filmstar wurde auf dem roten Teppich gefeiert.,Die Filmstar wurde auf dem roten Teppich gefeiert.
Die aus dem Hinterzimmer agierende Person war lange nicht auf dem Radar der Fahnder/innen.,Der Hintermann war lange nicht auf dem Radar der Fahnder.
Dier Bürgermeister_in zeigte große Bürger_innähe durch deren regelmäßigen Sprechstunden.,Die Bürgermeisterin zeigte große Bürgerinnähe durch ihre regelmäßigen Sprechstunden.
Das Blumenkind streute Blütenblätter auf den Weg.,Der Blumenjunge streute Blütenblätter auf den Weg.
Dier Gynäkolog*in führte die jährliche Untersuchung durch.,Der Gynäkologe führte die jährliche Untersuchung durch.
Dier Kommentator_in analysierte das Spiel mit Fachkenntnis.,Der Kommentator analysierte das Spiel mit Fachkenntnis.
Dier Stellvertreter/in übernahm die Aufgaben während der Abwesenheit der Leitung.,Der Stellvertreter übernahm die Aufgaben während der Abwesenheit der Leitung.
Dier MarktschreierIn zog die Aufmerksamkeit der PassantInnen auf sich.,Die Marktschreierin zog die Aufmerksamkeit der Passantinnen auf sich.
Dier Leibeigene musste einen Großteil ihrer Ernte abgeben.,Der Leibeigene musste einen Großteil seiner Ernte abgeben.
Humanitäre Helfer*innen leisteten in der Krisenregion dringend benötigte Hilfe.,Humanitäre Helferinnen leisteten in der Krisenregion dringend benötigte Hilfe.
Dier Antragsgegner/in legte Berufung gegen die Entscheidung ein.,Die Antragsgegnerin legte Berufung gegen die Entscheidung ein.
Die talentierten Künstler*innen arbeiteten zusammen an einem großen Wandgemälde.,"Die talentierten Künstler arbeiteten zusammen an einem großen Wandgemälde.
"
Die Erb_innen traten das Erbe der verstorbenen Geschwisterperson der Eltern an.,Die Erben traten das Erbe ihres verstorbenen Onkels an.
Dier Ersteller*in des Dokuments hat einige wichtige Informationen hinzugefügt.,Der Ersteller des Dokuments hat einige wichtige Informationen hinzugefügt.
Dey verstand sich als Vertreter:in des kleinen Menschen.,Sie verstand sich als Vertreterin der kleinen Frau.
Die Pflegekraft kümmerte sich liebevoll um die Kinder.,Die Pflegerin kümmerte sich liebevoll um die Kinder.
Das Ärzt*ingeheimnis schützt die Privatsphäre der Patient*innen.,Das Arztgeheimnis schützt die Privatsphäre der Patienten.
Dier Hauptmieter*in ist verantwortlich für die Zahlung der Miete.,Die Hauptmieterin ist verantwortlich für die Zahlung der Miete.
Dier Cyber-Erpresser_in forderte ein Lösegeld in Bitcoin.,Die Cyber-Erpresserin forderte ein Lösegeld in Bitcoin.
"Eine unbekannte Person hatte das Päckchen vor der Haustür abgelegt, ohne eine*n Absender*in anzugeben.","Ein Unbekannter hatte das Päckchen vor der Haustür abgelegt, ohne einen Absender anzugeben."
Das neue Produkt war einE echteR GamechangerIn in der Branche.,Das neue Produkt war eine echte Gamechangerin in der Branche.
Dier Oberbürgermeister*in eröffnete die neue Stadthalle.,Die Oberbürgermeisterin eröffnete die neue Stadthalle.
Dier Entscheider*in im Unternehmen genehmigte das neue Projekt.,Die Entscheiderin im Unternehmen genehmigte das neue Projekt.
Dier Mittelständler/in ist oft flexibler und schneller bei der Anpassung an Marktveränderungen als große Konzerne.,Der Mittelständler ist oft flexibler und schneller bei der Anpassung an Marktveränderungen als große Konzerne.
"Dier SpäherIn beobachtete das feindliche Lager aus der Ferne, um wichtige Informationen zu sammeln.","Die Späherin beobachtete das feindliche Lager aus der Ferne, um wichtige Informationen zu sammeln."
"Dier Wähler:in ging zur Urne, um deren Stimme abzugeben.","Der Wähler ging zur Urne, um seine Stimme abzugeben."
"Dier Tutor:in half den Student:innen dabei, die komplexen mathematischen Konzepte besser zu verstehen.","Die Tutorin half den Studentinnen dabei, die komplexen mathematischen Konzepte besser zu verstehen."
"Wir haben zahlreiche positive Kund:inreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Kundinreferenzen, die die Qualität unserer Produkte unterstreichen."
Die DozentInnen der Universität sind ExpertInnen auf ihrem Gebiet.,Die Dozentinnen der Universität sind Expertinnen auf ihrem Gebiet.
"Liebe Befreundete, schön, dass Ihr heute zur Vollversammlung unseres Vereins gekommen seid!","Liebe Sportfreundinnen, schön, dass Ihr heute zur Vollversammlung unseres Vereins gekommen seid!"
Heute gibt es gut bürgerliche Küche: Kartoffeln mit Sauerkraut.,"Heute gibt es Hausmannskost: Kartoffeln mit Sauerkraut."""
"Die Kund_inbetreuer_in hat sich viel Zeit genommen, um auf all meine Fragen einzugehen.","Der Kundenbetreuer hat sich viel Zeit genommen, um auf all meine Fragen einzugehen."
Geben Sie Ihre Versichertennummer im Formular an.,Geben Sie Ihre Versichertennummer im Formular an.
Dier Arbeitgeber_in bietet deren Angestellten flexible Arbeitszeiten an.,Der Arbeitgeber bietet seinen Angestellten flexible Arbeitszeiten an.
Der Tunnelbau wurde auf bergbauweise Weise durchgeführt.,Der Tunnelbau wurde auf bergmännische Weise durchgeführt.
Dier Vizepräsident/in vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Der Vizepräsident vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.
Das Ärzt_inzeugnis muss bei der Arbeit eingereicht werden.,Das Ärztinzeugnis muss bei der Arbeit eingereicht werden.
Dier Spaziergänger:in genoss das schöne Wetter im Park.,Die Spaziergängerin genoss das schöne Wetter im Park.
Der Dachkonzern ist weltweit tätig.,Der Mutterkonzern ist weltweit tätig.
Dier Held_in rettete das Kind aus dem brennenden Gebäude.,Der Held rettete das Kind aus dem brennenden Gebäude.
Dier Bildungsträger/in bietet verschiedene Fortbildungskurse an.,Der Bildungsträger bietet verschiedene Fortbildungskurse an.
... Die Person wurde bei der Entnazifizierung als Mitläufer*in eingestuft.,... Die Person wurde bei der Entnazifizierung als Mitläuferin eingestuft.
Die Rabbiner_innen treffen sich zum Gebet.,Die Rabbinerinnen treffen sich zum Gebet.
Dier Schmied*in formte das heiße Eisen zu einem Hufeisen.,Die Schmiedin formte das heiße Eisen zu einem Hufeisen.
Dier TrauzeugIn unterschrieb das Hochzeitsdokument.,Die Trauzeugin unterschrieb das Hochzeitsdokument.
Die Verteidigung besprach die Details des Falls ausführlich mit den ratsuchenden Personen.,Die Verteidigung besprach die Details des Falls ausführlich mit den Klienten.
"Gerade hat mir dier Busfahrer*in die Türen nochmal aufgemacht, obwohl dey sie schon geschlossen hatte.","Gerade hat mir die Busfahrerin die Türen nochmal aufgemacht, obwohl sie sie schon geschlossen hatte."
Als Hamburger_in ist dey Regen gewohnt.,Als Hamburgerin ist sie Regen gewohnt.
Die Entscheidung wurde basiert auf Fachexpertise getroffen.,Die Entscheidung wurde auf expertenbasierter Analyse getroffen.
Dier Auftraggeber_in definierte die Projektziele klar und präzise.,Die Auftraggeberin definierte die Projektziele klar und präzise.
Dier Fremdsprachler/in beherrschte mehrere Sprachen fließend.,Der Fremdsprachler beherrschte mehrere Sprachen fließend.
Dier TaucherIn erkundete das bunte Korallenriff und entdeckte dabei zahlreiche exotische Fische.,Der Taucher erkundete das bunte Korallenriff und entdeckte dabei zahlreiche exotische Fische.
Deren Unternehmen ist ein erfolgreicher Ein-Personen-Betrieb.,Ihr Unternehmen ist ein erfolgreicher Ein-Frau-Betrieb.
Dier Sadist/in erfreute sich am Leiden anderer.,Die Sadistin erfreute sich am Leiden anderer.
Wir erfüllen jeden Kund:inwunsch mit größter Sorgfalt und Aufmerksamkeit.,Wir erfüllen jeden Kundinwunsch mit größter Sorgfalt und Aufmerksamkeit.
Die Kompetenz tragende Person im Team brachte umfangreiche Fachkenntnisse im Projektmanagement mit.,"Die neue Kompetenzträgerin im Team brachte umfangreiche Fachkenntnisse im Projektmanagement mit.
"
Gemeinsam mit meinen Weggefährt*innen durchquerte ich das Land auf der Suche nach Abenteuern.,Gemeinsam mit meinen Weggefährtinnen durchquerte ich das Land auf der Suche nach Abenteuern.
Die Anwält/inkosten waren höher als erwartet.,Die Anwältinkosten waren höher als erwartet.
Dey sprach dien Spaziergänger/in auf deren coole Sneaker an.,Sie sprach die Spaziergängerin auf ihre coolen Sneaker an.
